train_run_id,created_at,model_version,train_size,validation_size,num_classes,classes,epochs,batch_size,learning_rate,weight_decay,best_epoch,best_validation_loss,best_validation_accuracy,final_train_loss,final_train_accuracy,final_validation_loss,final_validation_accuracy,class_weights,best_model_file,last_model_file,training_report_file,training_loss_plot_file,training_accuracy_plot_file,stopped_epoch,final_learning_rate,lr_scheduler_factor,lr_scheduler_patience,min_learning_rate,early_stopping_patience,training_lr_plot_file,use_weighted_sampler,use_class_weights
train_20260526_092834_a7911d86,2026-05-26 09:29:44,AstroMindCNNV1,57,12,4,aglomerado|estrela|galaxia|nebulosa,30,4,0.0005,0.0001,28,0.438775,0.916667,0.700220,0.716667,0.457961,0.750000,aglomerado=3.000000; estrela=4.750000; galaxia=4.750000; nebulosa=4.071429,C:\Workspace\Python\AstroMind\AstroMind\models\astronomy_classifier_best.pth,C:\Workspace\Python\AstroMind\AstroMind\models\astronomy_classifier_last.pth,C:\Workspace\Python\AstroMind\AstroMind\outputs\reports\training_report.csv,C:\Workspace\Python\AstroMind\AstroMind\outputs\images\training_loss.png,C:\Workspace\Python\AstroMind\AstroMind\outputs\images\training_accuracy.png,,,,,,,,,
train_20260526_100239_364d4d4b,2026-05-26 10:04:00,AstroMindCNNV1,57,12,4,aglomerado|estrela|galaxia|nebulosa,30,4,0.0005,0.0001,28,0.438775,0.916667,0.700220,0.716667,0.457961,0.750000,aglomerado=3.000000; estrela=4.750000; galaxia=4.750000; nebulosa=4.071429,C:\Workspace\Python\AstroMind\AstroMind\models\astronomy_classifier_best.pth,C:\Workspace\Python\AstroMind\AstroMind\models\astronomy_classifier_last.pth,C:\Workspace\Python\AstroMind\AstroMind\outputs\reports\training_report.csv,C:\Workspace\Python\AstroMind\AstroMind\outputs\images\training_loss.png,C:\Workspace\Python\AstroMind\AstroMind\outputs\images\training_accuracy.png,,,,,,,,,
train_20260526_102743_194ad6ed,2026-05-26 10:33:14,AstroMindCNNV2,57,12,4,aglomerado|estrela|galaxia|nebulosa,30,4,0.0005,0.0001,20,0.654141,0.750000,0.947709,0.583333,0.655536,0.833333,aglomerado=3.000000; estrela=4.750000; galaxia=4.750000; nebulosa=4.071429,C:\Workspace\Python\AstroMind\AstroMind\models\astronomy_classifier_best.pth,C:\Workspace\Python\AstroMind\AstroMind\models\astronomy_classifier_last.pth,C:\Workspace\Python\AstroMind\AstroMind\outputs\reports\training_report.csv,C:\Workspace\Python\AstroMind\AstroMind\outputs\images\training_loss.png,C:\Workspace\Python\AstroMind\AstroMind\outputs\images\training_accuracy.png,28,0.000063,0.5,3,1e-06,8,C:\Workspace\Python\AstroMind\AstroMind\outputs\images\training_learning_rate.png,,
train_20260526_150026_e7870f64,2026-05-26 15:12:32,AstroMindCNNV2.1,57,12,4,aglomerado|estrela|galaxia|nebulosa,50,4,0.0005,5e-05,43,0.492136,0.750000,0.568761,0.816667,0.573295,0.750000,aglomerado=3.000000; estrela=4.750000; galaxia=4.750000; nebulosa=4.071429,C:\Workspace\Python\AstroMind\AstroMind\models\astronomy_classifier_best.pth,C:\Workspace\Python\AstroMind\AstroMind\models\astronomy_classifier_last.pth,C:\Workspace\Python\AstroMind\AstroMind\outputs\reports\training_report.csv,C:\Workspace\Python\AstroMind\AstroMind\outputs\images\training_loss.png,C:\Workspace\Python\AstroMind\AstroMind\outputs\images\training_accuracy.png,50,0.000125,0.5,5,1e-06,12,C:\Workspace\Python\AstroMind\AstroMind\outputs\images\training_learning_rate.png,,
train_20260527_085121_448e3459,2026-05-27 09:12:57,AstroMindCNNV2.2,118,25,4,aglomerado|estrela|galaxia|nebulosa,50,4,0.0005,5e-05,41,0.526084,0.785714,0.722785,0.650000,0.531354,0.785714,aglomerado=5.130435; estrela=5.900000; galaxia=3.687500; nebulosa=2.744186,C:\Workspace\Python\AstroMind\AstroMind\models\astronomy_classifier_best.pth,C:\Workspace\Python\AstroMind\AstroMind\models\astronomy_classifier_last.pth,C:\Workspace\Python\AstroMind\AstroMind\outputs\reports\training_report.csv,C:\Workspace\Python\AstroMind\AstroMind\outputs\images\training_loss.png,C:\Workspace\Python\AstroMind\AstroMind\outputs\images\training_accuracy.png,50,0.000031,0.5,5,1e-06,12,C:\Workspace\Python\AstroMind\AstroMind\outputs\images\training_learning_rate.png,,
train_20260527_155905_0612b48a,2026-05-27 16:08:40,AstroMindCNNV2.3,118,25,4,aglomerado|estrela|galaxia|nebulosa,50,4,0.0005,5e-05,11,0.729064,0.642857,0.785024,0.716667,0.794773,0.678571,aglomerado=1.000000; estrela=1.000000; galaxia=1.000000; nebulosa=1.000000,C:\Workspace\Python\AstroMind\AstroMind\models\astronomy_classifier_best.pth,C:\Workspace\Python\AstroMind\AstroMind\models\astronomy_classifier_last.pth,C:\Workspace\Python\AstroMind\AstroMind\outputs\reports\training_report.csv,C:\Workspace\Python\AstroMind\AstroMind\outputs\images\training_loss.png,C:\Workspace\Python\AstroMind\AstroMind\outputs\images\training_accuracy.png,23,0.000125,0.5,5,1e-06,12,C:\Workspace\Python\AstroMind\AstroMind\outputs\images\training_learning_rate.png,True,False
train_20260527_163858_a7c772fa,2026-05-27 17:01:20,AstroMindCNNV2.4,118,25,4,aglomerado|estrela|galaxia|nebulosa,50,4,0.0003,5e-05,43,0.521015,0.857143,0.655082,0.725000,0.537755,0.821429,aglomerado=5.130435; estrela=5.900000; galaxia=3.687500; nebulosa=2.744186,C:\Workspace\Python\AstroMind\AstroMind\models\astronomy_classifier_best.pth,C:\Workspace\Python\AstroMind\AstroMind\models\astronomy_classifier_last.pth,C:\Workspace\Python\AstroMind\AstroMind\outputs\reports\training_report.csv,C:\Workspace\Python\AstroMind\AstroMind\outputs\images\training_loss.png,C:\Workspace\Python\AstroMind\AstroMind\outputs\images\training_accuracy.png,50,0.000009,0.5,5,1e-06,12,C:\Workspace\Python\AstroMind\AstroMind\outputs\images\training_learning_rate.png,False,True
train_20260528_110538_c209d69b,2026-05-28 11:26:46,AstroMindCNNV2.4,118,25,4,aglomerado|estrela|galaxia|nebulosa,50,4,0.0003,5e-05,43,0.521015,0.857143,0.655082,0.725000,0.537755,0.821429,aglomerado=5.130435; estrela=5.900000; galaxia=3.687500; nebulosa=2.744186,C:\Workspace\Python\AstroMind\AstroMind\models\astronomy_classifier_best.pth,C:\Workspace\Python\AstroMind\AstroMind\models\astronomy_classifier_last.pth,C:\Workspace\Python\AstroMind\AstroMind\outputs\reports\training_report.csv,C:\Workspace\Python\AstroMind\AstroMind\outputs\images\training_loss.png,C:\Workspace\Python\AstroMind\AstroMind\outputs\images\training_accuracy.png,50,0.000009,0.5,5,1e-06,12,C:\Workspace\Python\AstroMind\AstroMind\outputs\images\training_learning_rate.png,False,True
train_20260528_114121_f3cdc353,2026-05-28 12:02:39,AstroMindCNNV2.5,139,30,4,aglomerado|estrela|galaxia|nebulosa,50,4,0.0003,5e-05,34,0.442773,0.718750,0.582881,0.683333,0.557863,0.750000,aglomerado=6.043478; estrela=6.950000; galaxia=4.343750; nebulosa=2.171875,C:\Workspace\Python\AstroMind\AstroMind\models\astronomy_classifier_best.pth,C:\Workspace\Python\AstroMind\AstroMind\models\astronomy_classifier_last.pth,C:\Workspace\Python\AstroMind\AstroMind\outputs\reports\training_report.csv,C:\Workspace\Python\AstroMind\AstroMind\outputs\images\training_loss.png,C:\Workspace\Python\AstroMind\AstroMind\outputs\images\training_accuracy.png,46,0.000019,0.5,5,1e-06,12,C:\Workspace\Python\AstroMind\AstroMind\outputs\images\training_learning_rate.png,False,True
train_20260528_141140_ef69acef,2026-05-28 14:33:07,AstroMindCNNV2.4,139,30,4,aglomerado|estrela|galaxia|nebulosa,50,4,0.0003,5e-05,34,0.442773,0.718750,0.582881,0.683333,0.557863,0.750000,aglomerado=6.043478; estrela=6.950000; galaxia=4.343750; nebulosa=2.171875,C:\Workspace\Python\AstroMind\AstroMind\models\checkpoints\AstroMindCNNV2_4_best.pth,C:\Workspace\Python\AstroMind\AstroMind\models\checkpoints\AstroMindCNNV2_4_last.pth,C:\Workspace\Python\AstroMind\AstroMind\outputs\reports\training_report.csv,C:\Workspace\Python\AstroMind\AstroMind\outputs\images\training_loss.png,C:\Workspace\Python\AstroMind\AstroMind\outputs\images\training_accuracy.png,46,0.000019,0.5,5,1e-06,12,C:\Workspace\Python\AstroMind\AstroMind\outputs\images\training_learning_rate.png,False,True
train_20260528_153202_6c79d450,2026-05-28 15:53:18,AstroMindCNNV2.4,139,30,4,aglomerado|estrela|galaxia|nebulosa,50,4,0.0003,5e-05,34,0.442773,0.718750,0.582881,0.683333,0.557863,0.750000,aglomerado=6.043478; estrela=6.950000; galaxia=4.343750; nebulosa=2.171875,C:\Workspace\Python\AstroMind\AstroMind\models\checkpoints\runs\AstroMindCNNV2_4\train_20260528_153202_6c79d450_best.pth,C:\Workspace\Python\AstroMind\AstroMind\models\checkpoints\runs\AstroMindCNNV2_4\train_20260528_153202_6c79d450_last.pth,C:\Workspace\Python\AstroMind\AstroMind\outputs\reports\training_report.csv,C:\Workspace\Python\AstroMind\AstroMind\outputs\images\training_loss.png,C:\Workspace\Python\AstroMind\AstroMind\outputs\images\training_accuracy.png,46,0.000019,0.5,5,1e-06,12,C:\Workspace\Python\AstroMind\AstroMind\outputs\images\training_learning_rate.png,False,True
